Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
Dusit Thani Krabi Beach Resort - SHA Extra Plus,Klong Muang Beach,8.7,9.1,Deluxe King Room,1 king bed,368.524,Klong Muang Beach,Thailand,0,0,0,1,0,0,0,1
Dusit Thani Krabi Beach Resort - SHA Extra Plus,Klong Muang Beach,8.7,9.1,Deluxe King Room,1 king bed,368.524,Klong Muang Beach,Thailand,0,0,0,1,0,0,0,1
Centra by Centara Hotel Mae Sot,Mae Sot,7.7,8.3,Superior Twin Room,2 twin beds,63.237,Mae Sot,Thailand,2,0,0,0,0,0,0,2
Centra by Centara Hotel Mae Sot,Mae Sot,7.7,8.3,Superior Twin Room,2 twin beds,63.237,Mae Sot,Thailand,2,0,0,0,0,0,0,2
The Oceanic Sportel - SHA Extra Plus,Phuket,8.2,9.2,Deluxe King Room,1 king bed,114.926,Phuket,Thailand,0,0,0,1,0,0,0,1
Novotel Marina Sriracha & Koh Si Chang,Si Racha,8.5,9.1,"Premiere, Deluxe Room, Lounge Access, Sea View - 1 King Bed Sea View and Lounge Access",1 king bed,233.25300000000001,Si Racha,Thailand,0,0,0,1,0,0,0,1
Novotel Marina Sriracha & Koh Si Chang,Si Racha,8.5,9.1,"Premiere, Deluxe Room, Lounge Access, Sea View - 1 King Bed Sea View and Lounge Access",1 king bed,233.25300000000001,Si Racha,Thailand,0,0,0,1,0,0,0,1
3,Ban Ko Mu (1),8.0,10.0,Budget Double Room,1 full bed,32.994,Not specified,Thailand,0,1,0,0,0,0,0,1
3,Ban Ko Mu (1),8.0,10.0,Budget Double Room,1 full bed,32.994,Not specified,Thailand,0,1,0,0,0,0,0,1
Riverfront Hotel Mukdahan,Mukdahan,7.8,8.1,Standard Double Room,1 queen bed,66.959,Mukdahan,Thailand,0,0,1,0,0,0,0,1
Riverfront Hotel Mukdahan,Mukdahan,7.8,8.1,Standard Double Room,1 queen bed,66.959,Mukdahan,Thailand,0,0,1,0,0,0,0,1
The Journey Hotel Bangna,Samut Prakan,8.7,9.1,Standard King Room,1 full bed,68.72500000000001,Samut Prakan,Thailand,0,1,0,0,0,0,0,1
